,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,BuildingName,AddressNumber,AddNumFrom,AddNumTo,AddressRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddress,StAddr,Block,Sector,Neighborhood,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,Address,Address2,Address3,Neighborhood,City,Subregion,Region,Postal,Postal Extension,Country,Brand_Name,Site_Name,Street_Address,City_1,State,Zip,Phone_Num,Min_Elaps_hours,auth_cnt,OBJECTID
0,World,M,100.00,A,"1757 Georgia St, Alford, Florida, 32420","1757 Georgia St, Alford, FL, 32420, USA",1757 Georgia St,PointAddress,,,"1757 Georgia St, Alford, Florida, 32420",,,20.00,,1757,,,,L,,,Georgia,St,,,,,,,,,1757 Georgia St,,,,,Alford,,Jackson,Florida,FL,,,32420,,USA,ENG,0.00,-85.39,30.69,-85.39,30.69,-85.39,-85.39,30.69,30.69,1757 GEORGIA ST     ,,,,ALFORD            ,,FL,32420    ,,,UNBRANDED   ,DIXIE FOOD & GAS MRT,1757 GEORGIA ST     ,ALFORD            ,FL,32420    ,(850) 579-4369,0.00,1.00,1
1,World,M,86.94,A,"1395 E Altamonte Dr, Altamonte Springs, Florida, 32701","1395 E Altamonte Dr, Altamonte Springs, FL, 32701, USA",1395 E Altamonte Dr,PointAddress,,,"1395 E Altamonte Dr, Altamonte Springs, Florida, 32701",,,20.00,,1395,,,,R,E,,Altamonte,Dr,,,,,,,,,1395 E Altamonte Dr,,,,,Altamonte Springs,Orlando Metro Area,Seminole,Florida,FL,,,32701,,USA,ENG,0.00,-81.35,28.66,-81.35,28.66,-81.35,-81.34,28.66,28.66,1395 E. ALTAMONT    ,,,,ALTAMONTE SPG     ,,FL,329010000,,,SUNOCO      ,SUNOCO SRVC STATION ,1395 E. ALTAMONT    ,ALTAMONTE SPG     ,FL,329010000,(407) 834-1018,0.00,2.00,2
2,World,M,100.00,A,"919 W SR-436, Altamonte Springs, Florida, 32714","919 W SR-436, Altamonte Springs, FL, 32714, USA",919 W SR-436,PointAddress,,,"919 W SR-436, Altamonte Springs, Florida, 32714",,,20.00,,919,,,,R,W,,SR-436,,,,,,,,,,919 W SR-436,,,,,Altamonte Springs,Orlando Metro Area,Seminole,Florida,FL,,,32714,,USA,ENG,0.00,-81.42,28.67,-81.42,28.67,-81.42,-81.42,28.67,28.67,919 WEST SR 436     ,,,,ALTAMONTE SPRING  ,,FL,327142931,,,WAWA        ,WAWA 5179           ,919 WEST SR 436     ,ALTAMONTE SPRING  ,FL,327142931,(610) 358-8000,0.00,26.00,3
3,World,M,100.00,A,"401 W SR-436, Altamonte Springs, Florida, 32714","401 W SR-436, Altamonte Springs, FL, 32714, USA",401 W SR-436,PointAddress,,,"401 W SR-436, Altamonte Springs, Florida, 32714",,,20.00,,401,,,,L,W,,SR-436,,,,,,,,,,401 W SR-436,,,,,Altamonte Springs,Orlando Metro Area,Seminole,Florida,FL,,,32714,,USA,ENG,0.00,-81.40,28.66,-81.40,28.66,-81.40,-81.40,28.66,28.66,401 WEST HWY 436    ,,,,ALTAMONTE SPRINGS ,,FL,32714    ,,,7-ELEVEN    ,7-ELEVEN 10060      ,401 WEST HWY 436    ,ALTAMONTE SPRINGS ,FL,32714    ,(407) 862-5671,0.00,12.00,4
4,World,M,100.00,A,"340 Douglas Ave, Altamonte Springs, Florida, 32714","340 Douglas Ave, Altamonte Springs, FL, 32714, USA",340 Douglas Ave,PointAddress,,,"340 Douglas Ave, Altamonte Springs, Florida, 32714",,,20.00,,340,,,,L,,,Douglas,Ave,,,,,,,,,340 Douglas Ave,,,,,Altamonte Springs,Orlando Metro Area,Seminole,Florida,FL,,,32714,,USA,ENG,0.00,-81.39,28.67,-81.39,28.67,-81.39,-81.39,28.67,28.67,340 DOUGLAS AVE     ,,,,ALTAMONTE SPRINGS ,,FL,32714    ,,,7-ELEVEN    ,7-ELEVEN 23348      ,340 DOUGLAS AVE     ,ALTAMONTE SPRINGS ,FL,32714    ,(407) 788-1947,0.00,29.00,5
5,World,M,100.00,A,"901 W SR-436, Altamonte Springs, Florida, 32714","901 W SR-436, Altamonte Springs, FL, 32714, USA",901 W SR-436,PointAddress,,,"901 W SR-436, Altamonte Springs, Florida, 32714",,,20.00,,901,,,,L,W,,SR-436,,,,,,,,,,901 W SR-436,,,,,Altamonte Springs,Orlando Metro Area,Seminole,Florida,FL,,,32714,,USA,ENG,0.00,-81.42,28.67,-81.42,28.67,-81.42,-81.42,28.67,28.67,901 W HWY #436      ,,,,ALTAMONTE SPRINGS ,,FL,327142901,,,EXXONMOB    ,7-ELEVEN 34767      ,901 W HWY #436      ,ALTAMONTE SPRINGS ,FL,327142901,(407) 682-5912,5.00,13.00,6
6,World,M,100.00,A,"441 US Highway 98, Apalachicola, Florida, 32320","441 US Highway 98, Apalachicola, FL, 32320, USA",441 US Highway 98,PointAddress,,,"441 US Highway 98, Apalachicola, Florida, 32320",,,20.00,,441,,,,L,,,US Highway 98,,,,,,,,,,441 US Highway 98,,,,,Apalachicola,,Franklin,Florida,FL,,,32320,,USA,ENG,0.00,-85.01,29.71,-85.01,29.71,-85.01,-85.01,29.71,29.72,441 US HIGHWAY 98   ,,,,APALACHICOLA      ,,FL,323201238,,,MARATHON    ,JV GANDER DISTRIBUTO,441 US HIGHWAY 98   ,APALACHICOLA      ,FL,323201238,(850) 653-3722,0.00,2.00,7
7,World,M,100.00,A,"2229 E Semoran Blvd, Apopka, Florida, 32703","2229 E Semoran Blvd, Apopka, FL, 32703, USA",2229 E Semoran Blvd,PointAddress,,,"2229 E Semoran Blvd, Apopka, Florida, 32703",,,20.00,,2229,,,,L,E,,Semoran,Blvd,,,,,,,,,2229 E Semoran Blvd,,,,,Apopka,Orlando Metro Area,Orange,Florida,FL,,,32703,,USA,ENG,0.00,-81.47,28.67,-81.47,28.67,-81.47,-81.47,28.67,28.67,2229 E SEMORAN BLVD ,,,,APOPKA            ,,FL,327035734,,,EXXONMOB    ,7-ELEVEN 34778      ,2229 E SEMORAN BLVD ,APOPKA            ,FL,327035734,(407) 864-9109,3.00,6.00,8
8,World,M,100.00,A,"489 E Keene Rd, Apopka, Florida, 32703","489 E Keene Rd, Apopka, FL, 32703, USA",489 E Keene Rd,StreetAddress,,,"489 E Keene Rd, Apopka, Florida, 32703",,,20.00,,489,1,507,1-507,L,E,,Keene,Rd,,,,,,,,,489 E Keene Rd,,,,,Apopka,Orlando Metro Area,Orange,Florida,FL,,,32703,,USA,ENG,0.00,-81.50,28.64,-81.50,28.64,-81.50,-81.50,28.64,28.64,489 E KEENE ROAD    ,,,,APOPKA            ,,FL,327030000,,,BP          ,BP 5980339          ,489 E KEENE ROAD    ,APOPKA            ,FL,327030000,(407) 703-3894,2.00,1.00,9
9,World,M,98.84,A,"610 N Brevard Ave, Arcadia, Florida, 34266","610 N Brevard Ave, Arcadia, FL, 34266, USA",610 N Brevard Ave,StreetAddress,,,"610 N Brevard Ave, Arcadia, Florida, 34266",,,20.00,,610,500,682,500-682,R,N,,Brevard,Ave,,,,,,,,,610 N Brevard Ave,,,,,Arcadia,,Desoto,Florida,FL,,,34266,,USA,ENG,0.00,-81.86,27.22,-81.86,27.22,-81.86,-81.85,27.22,27.23,610 N BREVARD       ,,,,ARCADIA           ,,FL,342664544,,,SHELL       ,MERIT PETROLEUM CO I,610 N BREVARD       ,ARCADIA           ,FL,342664544,(863) 494-7062,0.00,8.00,10
