   X,    Y,    Latitude,   Longitude, ProbWindSpd64i_201709110600
   1,    1,   24.078519,  -90.897339,            0
   2,    1,   24.077129,  -90.847337,            0
   3,    1,   24.075721,  -90.797336,            0
   4,    1,   24.074297,  -90.747336,            0
   5,    1,   24.072857,  -90.697337,            0
   6,    1,   24.071399,  -90.647339,            0
   7,    1,   24.069924,  -90.597343,            0
   8,    1,   24.068433,  -90.547347,            0
   9,    1,   24.066925,  -90.497353,            0
  10,    1,   24.065400,  -90.447360,            0
  11,    1,   24.063858,  -90.397369,            0
  12,    1,   24.062299,  -90.347378,            0
  13,    1,   24.060724,  -90.297389,            0
  14,    1,   24.059132,  -90.247401,            0
  15,    1,   24.057522,  -90.197415,            0
  16,    1,   24.055896,  -90.147430,            0
  17,    1,   24.054254,  -90.097446,            0
  18,    1,   24.052594,  -90.047463,            0
  19,    1,   24.050917,  -89.997482,            0
  20,    1,   24.049224,  -89.947502,            0
  21,    1,   24.047514,  -89.897523,            0
  22,    1,   24.045787,  -89.847546,            0
  23,    1,   24.044043,  -89.797571,            0
  24,    1,   24.042283,  -89.747596,            0
  25,    1,   24.040505,  -89.697624,            0
  26,    1,   24.038711,  -89.647652,            0
  27,    1,   24.036900,  -89.597682,            0
  28,    1,   24.035072,  -89.547714,            0
  29,    1,   24.033227,  -89.497747,            0
  30,    1,   24.031366,  -89.447781,            0
  31,    1,   24.029488,  -89.397817,            0
  32,    1,   24.027592,  -89.347855,            0
  33,    1,   24.025680,  -89.297894,            0
  34,    1,   24.023752,  -89.247934,            0
  35,    1,   24.021806,  -89.197976,            0
  36,    1,   24.019844,  -89.148020,            0
  37,    1,   24.017864,  -89.098065,            0
  38,    1,   24.015868,  -89.048112,            0
  39,    1,   24.013856,  -88.998161,            0
  40,    1,   24.011826,  -88.948211,            0
  41,    1,   24.009780,  -88.898263,            0
  42,    1,   24.007716,  -88.848316,            0
  43,    1,   24.005636,  -88.798372,            0
  44,    1,   24.003539,  -88.748428,            0
  45,    1,   24.001426,  -88.698487,            0
  46,    1,   23.999295,  -88.648547,            0
  47,    1,   23.997148,  -88.598609,            0
  48,    1,   23.994984,  -88.548673,            0
  49,    1,   23.992803,  -88.498738,            0
  50,    1,   23.990605,  -88.448806,            0
  51,    1,   23.988391,  -88.398875,            0
  52,    1,   23.986159,  -88.348945,            0
  53,    1,   23.983911,  -88.299018,            0
  54,    1,   23.981646,  -88.249092,            0
  55,    1,   23.979365,  -88.199169,            0
  56,    1,   23.977066,  -88.149247,            0
  57,    1,   23.974751,  -88.099327,            0
  58,    1,   23.972419,  -88.049408,            0
  59,    1,   23.970070,  -87.999492,            0
  60,    1,   23.967704,  -87.949578,            0
  61,    1,   23.965322,  -87.899665,            0
  62,    1,   23.962923,  -87.849755,            0
  63,    1,   23.960507,  -87.799846,            0
  64,    1,   23.958074,  -87.749940,            0
  65,    1,   23.955624,  -87.700035,            0
  66,    1,   23.953158,  -87.650132,            0
  67,    1,   23.950675,  -87.600231,            0
  68,    1,   23.948175,  -87.550333,            0
  69,    1,   23.945658,  -87.500436,            0
  70,    1,   23.943125,  -87.450541,            0
  71,    1,   23.940574,  -87.400649,            0
  72,    1,   23.938007,  -87.350758,            0
  73,    1,   23.935423,  -87.300870,            0
  74,    1,   23.932823,  -87.250983,            0
  75,    1,   23.930205,  -87.201099,            0
  76,    1,   23.927571,  -87.151217,            0
  77,    1,   23.924920,  -87.101337,            0
  78,    1,   23.922253,  -87.051459,            0
  79,    1,   23.919568,  -87.001583,            0
  80,    1,   23.916867,  -86.951710,            0
  81,    1,   23.914149,  -86.901838,            0
  82,    1,   23.911414,  -86.851969,            0
  83,    1,   23.908662,  -86.802102,            0
  84,    1,   23.905894,  -86.752237,            0
  85,    1,   23.903109,  -86.702375,            0
  86,    1,   23.900307,  -86.652514,            0
  87,    1,   23.897489,  -86.602656,            0
  88,    1,   23.894653,  -86.552801,            0
  89,    1,   23.891801,  -86.502947,            0
  90,    1,   23.888932,  -86.453096,            0
  91,    1,   23.886047,  -86.403247,            0
  92,    1,   23.883144,  -86.353401,            0
  93,    1,   23.880225,  -86.303556,            0
  94,    1,   23.877289,  -86.253715,            0
  95,    1,   23.874336,  -86.203875,            0
  96,    1,   23.871367,  -86.154038,            0
  97,    1,   23.868381,  -86.104203,            0
  98,    1,   23.865378,  -86.054371,            0
  99,    1,   23.862358,  -86.004541,            0
 100,    1,   23.859322,  -85.954714,            0
 101,    1,   23.856269,  -85.904889,            0
 102,    1,   23.853199,  -85.855066,            0
 103,    1,   23.850112,  -85.805246,            0
 104,    1,   23.847009,  -85.755429,            0
 105,    1,   23.843889,  -85.705614,            0
 106,    1,   23.840752,  -85.655801,            0
 107,    1,   23.837598,  -85.605991,            0
 108,    1,   23.834428,  -85.556184,            0
 109,    1,   23.831241,  -85.506379,            0
 110,    1,   23.828037,  -85.456576,            0
 111,    1,   23.824817,  -85.406776,            0
 112,    1,   23.821580,  -85.356979,            0
 113,    1,   23.818326,  -85.307185,            0
 114,    1,   23.815055,  -85.257393,            0
 115,    1,   23.811767,  -85.207603,            0
 116,    1,   23.808463,  -85.157817,            0
 117,    1,   23.805142,  -85.108033,            0
 118,    1,   23.801805,  -85.058251,            0
 119,    1,   23.798451,  -85.008473,            0
 120,    1,   23.795080,  -84.958697,            0
 121,    1,   23.791692,  -84.908923,            0
 122,    1,   23.788287,  -84.859153,            0
 123,    1,   23.784866,  -84.809385,            0
 124,    1,   23.781428,  -84.759620,            0
 125,    1,   23.777974,  -84.709858,            0
 126,    1,   23.774502,  -84.660098,            0
 127,    1,   23.771014,  -84.610342,            0
 128,    1,   23.767510,  -84.560588,            0
 129,    1,   23.763988,  -84.510837,            0
 130,    1,   23.760450,  -84.461088,            0
 131,    1,   23.756895,  -84.411343,            0
 132,    1,   23.753324,  -84.361600,            0
 133,    1,   23.749736,  -84.311861,            0
 134,    1,   23.746131,  -84.262124,            0
 135,    1,   23.742509,  -84.212390,            0
 136,    1,   23.738871,  -84.162659,            0
 137,    1,   23.735216,  -84.112931,            0
 138,    1,   23.731544,  -84.063206,            0
 139,    1,   23.727856,  -84.013484,            0
 140,    1,   23.724151,  -83.963764,            0
 141,    1,   23.720429,  -83.914048,            0
 142,    1,   23.716690,  -83.864335,            0
 143,    1,   23.712935,  -83.814625,            0
 144,    1,   23.709163,  -83.764917,            0
 145,    1,   23.705375,  -83.715213,            0
 146,    1,   23.701570,  -83.665512,            0
 147,    1,   23.697748,  -83.615814,            0
 148,    1,   23.693909,  -83.566119,            0
 149,    1,   23.690054,  -83.516427,            0
 150,    1,   23.686182,  -83.466738,            0
 151,    1,   23.682294,  -83.417052,            0
 152,    1,   23.678389,  -83.367369,            0
 153,    1,   23.674467,  -83.317690,            0
 154,    1,   23.670528,  -83.268014,            0
 155,    1,   23.666573,  -83.218340,            0
 156,    1,   23.662601,  -83.168670,            0
 157,    1,   23.658613,  -83.119003,            0
 158,    1,   23.654607,  -83.069340,            0
 159,    1,   23.650586,  -83.019679,            0
 160,    1,   23.646547,  -82.970022,            0
 161,    1,   23.642492,  -82.920368,            0
 162,    1,   23.638420,  -82.870717,            0
 163,    1,   23.634332,  -82.821070,            0
 164,    1,   23.630227,  -82.771426,            0
 165,    1,   23.626105,  -82.721785,            0
 166,    1,   23.621966,  -82.672147,            0
 167,    1,   23.617811,  -82.622513,            0
 168,    1,   23.613640,  -82.572882,            0
 169,    1,   23.609451,  -82.523254,            0
 170,    1,   23.605246,  -82.473630,            0
 171,    1,   23.601025,  -82.424009,            0
 172,    1,   23.596787,  -82.374391,            0
 173,    1,   23.592532,  -82.324777,            0
 174,    1,   23.588260,  -82.275166,            0
 175,    1,   23.583972,  -82.225559,            0
 176,    1,   23.579668,  -82.175955,            0
 177,    1,   23.575346,  -82.126355,            0
 178,    1,   23.571008,  -82.076758,            0
 179,    1,   23.566654,  -82.027164,            0
 180,    1,   23.562282,  -81.977574,            0
 181,    1,   23.557895,  -81.927987,            0
 182,    1,   23.553490,  -81.878404,            0
 183,    1,   23.549069,  -81.828825,            0
 184,    1,   23.544631,  -81.779249,            0
 185,    1,   23.540177,  -81.729676,            0
 186,    1,   23.535706,  -81.680108,            0
 187,    1,   23.531219,  -81.630542,            0
 188,    1,   23.526715,  -81.580980,            0
 189,    1,   23.522194,  -81.531422,            0
 190,    1,   23.517657,  -81.481868,            0
 191,    1,   23.513103,  -81.432317,            0
 192,    1,   23.508532,  -81.382770,            0
 193,    1,   23.503945,  -81.333226,            0
 194,    1,   23.499341,  -81.283686,            0
 195,    1,   23.494721,  -81.234150,            0
 196,    1,   23.490084,  -81.184617,            0
 197,    1,   23.485431,  -81.135088,            0
 198,    1,   23.480761,  -81.085563,            0
 199,    1,   23.476074,  -81.036042,            0
 200,    1,   23.471371,  -80.986524,            0
 201,    1,   23.466651,  -80.937010,            0
 202,    1,   23.461915,  -80.887500,            0
 203,    1,   23.457162,  -80.837993,            0
 204,    1,   23.452392,  -80.788491,            0
 205,    1,   23.447606,  -80.738992,            0
 206,    1,   23.442804,  -80.689497,            0
 207,    1,   23.437984,  -80.640006,            0
 208,    1,   23.433149,  -80.590518,            0
 209,    1,   23.428296,  -80.541035,            0
 210,    1,   23.423427,  -80.491555,            0
 211,    1,   23.418542,  -80.442080,            0
 212,    1,   23.413640,  -80.392608,            0
 213,    1,   23.408721,  -80.343140,            0
 214,    1,   23.403786,  -80.293676,            0
 215,    1,   23.398835,  -80.244216,            0
 216,    1,   23.393866,  -80.194760,            0
 217,    1,   23.388882,  -80.145307,            0
 218,    1,   23.383880,  -80.095859,            0
 219,    1,   23.378863,  -80.046415,            0
 220,    1,   23.373828,  -79.996975,            0
 221,    1,   23.368777,  -79.947538,            0
 222,    1,   23.363710,  -79.898106,            0
 223,    1,   23.358626,  -79.848678,            0
 224,    1,   23.353525,  -79.799254,            0
 225,    1,   23.348408,  -79.749834,            0
 226,    1,   23.343275,  -79.700418,            0
 227,    1,   23.338125,  -79.651006,            0
 228,    1,   23.332958,  -79.601598,            0
 229,    1,   23.327775,  -79.552194,            0
 230,    1,   23.322575,  -79.502795,            0
 231,    1,   23.317359,  -79.453399,            0
 232,    1,   23.312127,  -79.404008,            0
 233,    1,   23.306877,  -79.354621,            0
 234,    1,   23.301612,  -79.305238,            0
 235,    1,   23.296330,  -79.255859,            0
 236,    1,   23.291031,  -79.206484,            0
 237,    1,   23.285716,  -79.157114,            0
 238,    1,   23.280384,  -79.107748,            0
 239,    1,   23.275036,  -79.058386,            0
 240,    1,   23.269671,  -79.009028,            0
 241,    1,   23.264290,  -78.959675,            0
 242,    1,   23.258892,  -78.910325,            0
 243,    1,   23.253478,  -78.860980,            0
   1,    2,   24.124171,  -90.895825,            0
   2,    2,   24.122780,  -90.845804,            0
   3,    2,   24.121373,  -90.795785,            0
   4,    2,   24.119948,  -90.745766,            0
   5,    2,   24.118507,  -90.695749,            0
   6,    2,   24.117048,  -90.645733,            0
   7,    2,   24.115573,  -90.595718,            0
   8,    2,   24.114081,  -90.545704,            0
   9,    2,   24.112573,  -90.495692,            0
  10,    2,   24.111047,  -90.445680,            0
  11,    2,   24.109505,  -90.395670,            0
  12,    2,   24.107945,  -90.345661,            0
  13,    2,   24.106369,  -90.295654,            0
  14,    2,   24.104776,  -90.245648,            0
  15,    2,   24.103167,  -90.195643,            0
  16,    2,   24.101540,  -90.145639,            0
  17,    2,   24.099897,  -90.095637,            0
  18,    2,   24.098236,  -90.045636,            0
  19,    2,   24.096559,  -89.995636,            0
  20,    2,   24.094865,  -89.945638,            0
  21,    2,   24.093154,  -89.895641,            0
  22,    2,   24.091427,  -89.845645,            0
  23,    2,   24.089682,  -89.795651,            0
  24,    2,   24.087921,  -89.745659,            0
  25,    2,   24.086143,  -89.695667,            0
  26,    2,   24.084348,  -89.645678,            0
  27,    2,   24.082536,  -89.595689,            0
  28,    2,   24.080708,  -89.545702,            0
  29,    2,   24.078862,  -89.495717,            0
  30,    2,   24.077000,  -89.445733,            0
  31,    2,   24.075121,  -89.395751,            0
  32,    2,   24.073225,  -89.345770,            0
  33,    2,   24.071313,  -89.295790,            0
  34,    2,   24.069383,  -89.245813,            0
  35,    2,   24.067437,  -89.195836,            0
  36,    2,   24.065474,  -89.145862,            0
  37,    2,   24.063494,  -89.095889,            0
  38,    2,   24.061497,  -89.045917,            0
  39,    2,   24.059483,  -88.995947,            0
  40,    2,   24.057453,  -88.945979,            0
  41,    2,   24.055406,  -88.896013,            0
  42,    2,   24.053341,  -88.846048,            0
  43,    2,   24.051261,  -88.796084,            0
  44,    2,   24.049163,  -88.746123,            0
  45,    2,   24.047048,  -88.696163,            0
  46,    2,   24.044917,  -88.646205,            0
  47,    2,   24.042769,  -88.596249,            0
  48,    2,   24.040604,  -88.546294,            0
  49,    2,   24.038422,  -88.496341,            0
  50,    2,   24.036224,  -88.446390,            0
  51,    2,   24.034008,  -88.396441,            0
  52,    2,   24.031776,  -88.346493,            0
  53,    2,   24.029527,  -88.296547,            0
  54,    2,   24.027262,  -88.246603,            0
  55,    2,   24.024979,  -88.196661,            0
  56,    2,   24.022680,  -88.146721,            0
  57,    2,   24.020364,  -88.096783,            0
  58,    2,   24.018031,  -88.046846,            0
  59,    2,   24.015681,  -87.996911,            0
  60,    2,   24.013314,  -87.946979,            0
  61,    2,   24.010931,  -87.897048,            0
  62,    2,   24.008531,  -87.847119,            0
  63,    2,   24.006114,  -87.797192,            0
  64,    2,   24.003680,  -87.747267,            0
  65,    2,   24.001230,  -87.697344,            0
  66,    2,   23.998762,  -87.647423,            0
  67,    2,   23.996278,  -87.597504,            0
  68,    2,   23.993777,  -87.547587,            0
  69,    2,   23.991260,  -87.497672,            0
  70,    2,   23.988725,  -87.447759,            0
  71,    2,   23.986174,  -87.397848,            0
  72,    2,   23.983606,  -87.347939,            0
  73,    2,   23.981021,  -87.298033,            0
  74,    2,   23.978419,  -87.248128,            0
  75,    2,   23.975801,  -87.198225,            0
  76,    2,   23.973166,  -87.148325,            0
  77,    2,   23.970514,  -87.098426,            0
  78,    2,   23.967845,  -87.048530,            0
  79,    2,   23.965160,  -86.998636,            0
  80,    2,   23.962457,  -86.948744,            0
  81,    2,   23.959738,  -86.898855,            0
  82,    2,   23.957002,  -86.848967,            0
  83,    2,   23.954250,  -86.799082,            0
  84,    2,   23.951480,  -86.749199,            0
  85,    2,   23.948694,  -86.699318,            0
  86,    2,   23.945891,  -86.649440,            0
  87,    2,   23.943072,  -86.599563,            0
  88,    2,   23.940235,  -86.549689,            0
  89,    2,   23.937382,  -86.499817,            0
  90,    2,   23.934512,  -86.449948,            0
  91,    2,   23.931625,  -86.400081,            0
  92,    2,   23.928722,  -86.350216,            0
  93,    2,   23.925801,  -86.300354,            0
  94,    2,   23.922864,  -86.250494,            0
  95,    2,   23.919911,  -86.200636,            0
  96,    2,   23.916940,  -86.150781,            0
  97,    2,   23.913953,  -86.100928,            0
  98,    2,   23.910949,  -86.051077,            0
  99,    2,   23.907928,  -86.001229,            0
 100,    2,   23.904890,  -85.951383,            0
 101,    2,   23.901836,  -85.901540,            0
 102,    2,   23.898765,  -85.851699,            0
 103,    2,   23.895677,  -85.801861,            0
 104,    2,   23.892573,  -85.752025,            0
 105,    2,   23.889451,  -85.702192,            0
 106,    2,   23.886313,  -85.652361,            0
 107,    2,   23.883159,  -85.602533,            0
 108,    2,   23.879987,  -85.552707,            0
 109,    2,   23.876799,  -85.502884,            0
 110,    2,   23.873594,  -85.453064,            0
 111,    2,   23.870372,  -85.403246,            0
 112,    2,   23.867134,  -85.353430,            0
 113,    2,   23.863878,  -85.303617,            0
 114,    2,   23.860606,  -85.253807,            0
 115,    2,   23.857318,  -85.204000,            0
 116,    2,   23.854012,  -85.154195,            0
 117,    2,   23.850690,  -85.104393,            0
 118,    2,   23.847351,  -85.054593,            0
 119,    2,   23.843996,  -85.004796,            0
 120,    2,   23.840623,  -84.955002,            0
 121,    2,   23.837234,  -84.905211,            0
 122,    2,   23.833829,  -84.855422,            0
 123,    2,   23.830406,  -84.805636,            0
 124,    2,   23.826967,  -84.755853,            0
 125,    2,   23.823511,  -84.706072,            0
 126,    2,   23.820038,  -84.656295,            0
 127,    2,   23.816549,  -84.606520,            0
 128,    2,   23.813043,  -84.556748,            0
 129,    2,   23.809520,  -84.506978,            0
 130,    2,   23.805981,  -84.457212,            0
 131,    2,   23.802425,  -84.407448,            0
 132,    2,   23.798852,  -84.357688,            0
 133,    2,   23.795262,  -84.307930,            0
 134,    2,   23.791656,  -84.258175,            0
 135,    2,   23.788033,  -84.208423,            0
 136,    2,   23.784393,  -84.158674,            0
 137,    2,   23.780737,  -84.108928,            0
